	22.0
blondes	1.0
blonds	4.0
bloqu	1.0
bloquejambes	2.0
bloquer	1.0
blottit	1.0
blouissante	1.0
blousons	1.0
bnficie	1.0
bnficiez	1.0
boa	6.0
bocal	3.0
bocaux	2.0
boirai	1.0
boire	9.0
bois	20.0
boit	1.0
boitait	1.0
boite	7.0
bol	2.0
bomba	1.0
bombardait	1.0
bon	49.0
bonbons	6.0
boncs	1.0
bond	15.0
bonde	1.0
bondir	2.0
bondit	5.0
bonds	1.0
bones	1.0
bonheur	6.0
bonhomme	3.0
bonjour	6.0
bonne	29.0
bonnes	10.0
bonnet	1.0
bonnets	1.0
bons	3.0
bonsoir	1.0
book	3.0
boot	1.0
borborygme	1.0
bord	14.0
bordaient	1.0
borde	1.0
bords	1.0
bordure	1.0
bosse	1.0
botanique	1.0
bote	16.0
botes	2.0
bott	1.0
botte	1.0
bottes	5.0
boucha	2.0
bouche	28.0
bouchon	1.0
boucles	1.0
boue	2.0
boueux	1.0
boug	1.0
bouge	1.0
bougea	7.0
bougeaient	1.0
bougeait	1.0
bouger	10.0
bougetoi	1.0
bougez	1.0
bougre	1.0
bouillie	1.0
bouilloire	3.0
bouillonne	1.0
boulanger	1.0
boulangerie	1.0
boule	10.0
boules	4.0
boulet	2.0
boulets	1.0
boulimique	1.0
boum	4.0
bouquin	1.0
bouquins	2.0
bouriffant	1.0
bouriffs	1.0
bourru	2.0
bourse	1.0
bouscul	3.0
bouscula	1.0
bousculaient	1.0
bousculant	1.0
bout	33.0
bouteille	10.0
bouteilles	6.0
boutique	14.0
boutiques	4.0
bowling	1.0
boxer	1.0
bquilles	1.0
braillait	1.0
braises	2.0
branchages	1.0
branche	1.0
branches	4.0
brandir	1.0
brandissait	1.0
brandit	3.0
bras	49.0
brasier	1.0
brave	1.0
braver	1.0
bravo	4.0
bravoure	2.0
brches	1.0
bredouilla	1.0
bredouillatil	2.0
bref	1.0
brilla	1.0
brillaient	7.0
brillait	9.0
brillamment	1.0
brillant	10.0
brillantes	2.0
brillants	4.0
brille	1.0
briller	1.0
brindille	3.0
brindilles	1.0
brique	2.0
briques	2.0
briquet	2.0
bris	2.0
brise	3.0
bristol	1.0
brl	2.0
brlant	1.0
brle	1.0
brler	2.0
brles	2.0
brls	1.0
brlure	1.0
brlures	2.0
brochedu	1.0
brocklehurst	1.0
bronze	4.0
broussaille	1.0
broussailleuse	1.0
broussailleux	1.0
brown	1.0
broyer	1.0
brsil	3.0
brsilien	1.0
bruissement	4.0
bruit	37.0
bruits	8.0
brume	3.0
brun	2.0
bruns	1.0
brusque	2.0
brusquement	13.0
brutalement	2.0
brutalis	1.0
bruxelles	1.0
bruyamment	5.0
bruyante	3.0
brve	1.0
bte	4.0
btement	1.0
btes	1.0
btiment	2.0
btiments	1.0
btis	1.0
btises	11.0
bton	1.0
btonnets	1.0
buf	1.0
buffle	1.0
buisson	1.0
bullard	1.0
bulles	1.0
bulstrode	1.0
bureau	11.0
bureaux	1.0
bus	1.0
but	7.0
buts	7.0
buvaient	1.0
buvait	1.0
buvant	1.0
bzoard	3.0
c	1.0
ca	1.0
cabane	26.0
cach	6.0
cachait	4.0
cachant	3.0
cache	3.0
cacheoreilles	1.0
cacher	11.0
caches	1.0
cachezvous	1.0
cachot	4.0
cachots	3.0
cachs	1.0
cadavre	1.0
cadavres	1.0
cadeau	5.0
cadeaux	12.0
cadence	1.0
cadran	3.0
cadre	2.0
caf	2.0
cage	13.0
cages	1.0
cahiers	1.0
cailles	1.0
cake	1.0
calcins	1.0
calembredaines	2.0
calendrier	1.0
califourchon	1.0
calm	1.0
calmar	1.0
calme	9.0
calmer	1.0
calmetoi	1.0
camarades	5.0
cambriolage	4.0
camp	6.0
campagne	2.0
camscope	3.0
canap	11.0
canard	1.0
canari	2.0
cancres	1.0
canne	8.0
cannes	3.0
canon	5.0
canotier	1.0
canots	1.0
cantine	1.0
caoutchouc	3.0
caoutchouteuse	1.0
capable	5.0
capables	2.0
cape	57.0
capes	4.0
capitaine	5.0
capuchon	4.0
caput	1.0
caqutement	1.0
car	43.0
carabine	2.0
caractre	2.0
caramel	1.0
carbone	1.0
caressa	2.0
caressant	1.0
caresse	1.0
caresser	1.0
carlate	7.0
carlates	5.0
carnet	1.0
carquois	2.0
carr	1.0
carreau	2.0
carrelage	3.0
carres	1.0
carrs	1.0
cart	1.0
carte	16.0
carter	1.0
cartes	5.0
cartez	1.0
cartezvous	2.0
carton	3.0
cas	27.0
case	2.0
cases	4.0
casque	1.0
cass	6.0
casse	1.0
casser	6.0
casses	1.0
cassetoi	1.0
cassnon	1.0
casss	1.0
catastrophique	1.0
cauchemar	4.0
cauchemars	2.0
cause	15.0
cavalier	7.0
cd	1.0
cder	2.0
ce	514.0
ceci	3.0
cela	25.0
celle	14.0
celleci	6.0
cellel	3.0
celles	4.0
celui	24.0
celuici	22.0
celuidontonnedoitpasprononcerlenom	1.0
celuil	5.0
cen	1.0
cens	2.0
censs	4.0
cent	21.0
centaine	3.0
centaines	5.0
centaure	10.0
centaures	4.0
centimtres	14.0
centre	1.0
cents	4.0
cependant	18.0
cercles	6.0
cerner	1.0
certain	3.0
certaine	3.0
certainement	6.0
certaines	3.0
certains	15.0
certes	1.0
certitude	1.0
cerveau	2.0
cerveaux	1.0
ces	54.0
cess	5.0
cessa	3.0
cessaient	1.0
cessait	7.0
cesse	16.0
cest	360.0
cestdire	2.0
cet	34.0
cette	120.0
ceux	17.0
ceuxl	3.0
chacun	18.0
chacune	2.0
chafaudant	1.0
chahut	1.0
chair	2.0
chaise	7.0
chaises	2.0
chaleur	8.0
chaleureusement	1.0
chambre	30.0
chambres	1.0
champ	1.0
champagne	1.0
champignons	3.0
championnat	7.0
champs	1.0
chance	29.0
chances	1.0
chandelle	2.0
chandelles	4.0
chanes	1.0
chang	6.0
change	1.0
changea	2.0
changeaient	2.0
changeait	2.0
changeant	1.0
changement	1.0
